D \ K_h,0.30,0.60,1.00,1.50,2.50
1.3529,0.3753,0.2413,0.1829,0.1590,0.1381
1.4311,0.5087,0.3123,0.2524,0.2275,0.1993
1.5002,nan,0.3961,0.3407,0.3136,0.2895
1.5641,nan,nan,nan,nan,nan
